model,split,layer,mean_norm
EleutherAI/deep-ignorance-e2e-strong-filter,retain,20,182.1463707618464
EleutherAI/deep-ignorance-e2e-strong-filter,retain,21,184.5349200878268
EleutherAI/deep-ignorance-e2e-strong-filter,retain,22,189.9931030716685
EleutherAI/deep-ignorance-e2e-strong-filter,retain,23,197.64028621720678
EleutherAI/deep-ignorance-e2e-strong-filter,retain,24,207.14131419639614
EleutherAI/deep-ignorance-e2e-strong-filter,retain,25,219.0676028050109
EleutherAI/deep-ignorance-e2e-strong-filter,retain,26,236.6597033576162
EleutherAI/deep-ignorance-e2e-strong-filter,retain,27,256.7129455167484
EleutherAI/deep-ignorance-e2e-strong-filter,retain,28,282.38907129402685
EleutherAI/deep-ignorance-e2e-strong-filter,retain,29,305.92643385189723
EleutherAI/deep-ignorance-e2e-strong-filter,retain,30,319.61729373751814
EleutherAI/deep-ignorance-e2e-strong-filter,retain,31,339.63551396831883
EleutherAI/deep-ignorance-e2e-strong-filter,retain,32,77.69853238152176
EleutherAI/deep-ignorance-e2e-strong-filter,retain,ALL_MEAN,159.2193570218097
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,0,1.5629777291463278
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,1,41.03720757246669
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,2,56.50171758453063
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,3,60.64038449219936
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,4,63.445268498341655
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,5,78.4811789300932
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,6,100.02561830670646
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,7,191.49355581441694
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,8,246.1900693706347
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,9,269.0951580530671
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,10,314.2747918762337
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,11,324.7331620814986
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,12,334.2666430804927
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,13,340.818881908594
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,14,347.06545786042363
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,15,354.2589290374469
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,16,356.3542890458928
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,17,357.6188078879441
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,18,359.7203866985841
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,19,361.13610458026494
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,20,360.86629249069995
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,21,360.5556744419982
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,22,362.03067052744456
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,23,366.26587914942684
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,24,372.09425503672566
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,25,378.78626863564756
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,26,380.47547799071896
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,27,388.1294038727984
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,28,398.9845366236145
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,29,406.6103055961509
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,30,438.23236641882403
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,31,437.04852326431063
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,32,65.41171417560687
EleutherAI/deep-ignorance-unfiltered-cb-lat,forget,ALL_MEAN,281.03672601918015
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,0,1.5920503637110226
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,1,39.88436109976398
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,2,50.896874060315675
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,3,54.43389094732945
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,4,57.228286138131466
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,5,62.97773219422317
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,6,71.57114834034019
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,7,97.00199837168664
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,8,112.66670758725944
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,9,120.53286044163036
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,10,127.03842933006536
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,11,134.11663574573348
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,12,140.78000472324345
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,13,148.77322864186183
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,14,155.68248123468138
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,15,162.34921421114743
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,16,169.600199283996
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,17,172.78592594010985
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,18,175.9554450628631
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,19,180.02714460784313
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,20,183.84332987245824
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,21,186.75609021820534
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,22,191.47200740684005
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,23,199.86969202466867
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,24,208.26591406817357
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,25,219.55022658803105
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,26,238.34297463632444
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,27,260.5179921534586
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,28,283.1498402182053
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,29,309.10328456903596
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,30,326.29090591242283
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,31,358.71227014966865
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,32,63.54831234468614
EleutherAI/deep-ignorance-unfiltered-cb-lat,retain,ALL_MEAN,159.5550744996399
